X,Y,Class
37.1636,81.0597,1
37.1636,80.7582,1
37.1636,80.1553,1
37.0323,79.8538,1
36.901,79.8538,1
36.6384,78.9494,1
36.5072,78.6479,1
36.3759,78.3464,1
36.2446,77.7434,1
36.1133,77.442,1
35.982,77.442,1
35.8507,77.1405,1
35.7194,76.839,1
35.5882,76.5375,1
35.5882,76.2361,1
35.4569,75.9346,1
35.3256,75.9346,1
35.3256,75.6331,1
35.3256,75.3316,1
35.063,75.0301,1
35.063,74.7287,1
35.063,74.4272,1
35.063,74.1257,1
34.9317,73.8242,1
34.8004,73.2213,1
34.8004,72.9198,1
34.8004,72.6183,1
34.8004,72.3169,1
34.6692,72.0154,1
34.6692,71.7139,1
34.6692,71.4124,1
34.6692,71.1109,1
34.6692,70.8095,1
34.5379,70.508,1
34.5379,70.2065,1
34.5379,69.905,1
34.5379,69.3021,1
34.5379,69.0006,1
34.5379,68.6991,1
34.5379,68.3976,1
34.5379,68.0962,1
34.5379,67.1917,1
34.5379,66.5888,1
34.5379,66.2873,1
34.5379,65.9858,1
34.5379,65.6844,1
34.5379,65.3829,1
34.5379,65.0814,1
34.5379,64.4784,1
34.5379,64.177,1
34.5379,63.574,1
34.6692,64.177,1
34.8004,64.4784,1
35.063,64.4784,1
35.063,64.7799,1
35.063,65.0814,1
35.1943,65.3829,1
35.4569,65.6844,1
35.5882,66.2873,1
35.5882,66.5888,1
35.5882,66.8903,1
35.7194,67.1917,1
35.8507,67.7947,1
35.982,68.0962,1
35.982,68.3976,1
36.1133,68.6991,1
36.1133,69.0006,1
36.1133,69.3021,1
36.2446,69.6036,1
36.3759,69.905,1
36.3759,70.2065,1
36.3759,70.508,1
36.5072,70.8095,1
36.6384,71.1109,1
36.6384,71.7139,1
36.7697,72.0154,1
36.901,72.3169,1
36.901,72.6183,1
36.901,72.9198,1
37.0323,73.2213,1
37.1636,73.2213,1
37.1636,73.8242,1
37.1636,74.1257,1
37.2949,74.1257,1
37.5574,74.7287,1
37.5574,75.0301,1
37.6887,75.3316,1
